"REGION2016","NSCHID","RegionId","SCHOOL","COMMUNITY","ADDRESS1","ADDRESS2","ADDRESS3","POSTCODE","PHONE","FAX","NSCHID_A","YEAR","K","ONE","TWO","THREE","FOUR","FIVE","SIX","SEVEN","EIGHT","NINE","TEN","ELEVEN","TWELVE","FOURTH","TOTAL","GIVEN","PRINCIPAL","EMAIL","DISTRICT"
"Labrador","001","100","St. Peter's School","Black Tickle","Black Tickle","Black Tickle, NL","A0K 1N0","A0K1N0","471-8828","471-8838","001","2016","1","5","0","1","0","0","4","0","1","0","2","0","3","2","19","Madeline","Madeline Keefe","madelinekeefe@nlesd.ca","NLESD - Labrador Region"
"Labrador","002","100","Henry Gordon Academy","Cartwright","P.O. Box 300","Cartwright, NL","A0K 1V0","A0K1V0","938-7291","938-7467","002","2016","4","7","4","7","8","6","8","3","5","6","1","6","9","0","74","Jeff","Jeff Saxby","jeffsaxby@nlesd.ca","NLESD - Labrador Region"
"Labrador","004","100","Queen of Peace Middle School","Happy Valley-Goose Bay","P.O. Box 1900, Stn B","Happy Valley-Goose Bay, NL","A0P 1E0","A0P1E0","896-5315","896-5056","004","2016","0","0","0","0","87","92","90","90","0","0","0","0","0","0","359","Mark","Mark Bonnell","markbonnell@nlesd.ca","NLESD - Labrador Region"
"Labrador","005","100","Peacock Primary School","Happy Valley-Goose Bay","P.O. Box 2163, Stn B","Happy Valley-Goose Bay, NL","A0P 1E0","A0P1E0","896-3896","896-6014","005","2016","75","94","104","107","0","0","0","0","0","0","0","0","0","0","380","Sandra","Sandra Broomfield","sandrabroomfield@nlesd.ca","NLESD - Labrador Region"
"Labrador","007","100","Amos Comenius Memorial School","Hopedale","P.O. Box 105","Hopedale, NL","A0P 1G0","A0P1G0","933-3815","933-3805","007","2016","15","18","7","4","8","6","5","11","11","10","10","9","10","1","125","Dean","Dean Coombs","deancoombs@nlesd.ca","NLESD - Labrador Region"
"Labrador","008","100","A. P. Low Primary","Labrador City","600 Bartlett Drive","Labrador City, NL","A2V 1G6","A2V1G6","944-5231","944-5580","008","2016","115","116","116","100","0","0","0","0","0","0","0","0","0","0","447","Rose","Rose Neville","roseneville@nlesd.ca","NLESD - Labrador Region"
"Labrador","012","100","J.C. Erhardt Memorial School","Makkovik","P.O. Box 134","Makkovik, NL","A0P 1J0","A0P1J0","923-2275","923-2106","012","2016","11","3","7","9","4","4","4","3","5","7","1","6","4","0","68","Dion","Dion Rideout","dionrideout@nlesd.ca","NLESD - Labrador Region"
"Labrador","013","100","Mud Lake School","Mud Lake","General Delivery","Mud Lake, NL","A0P 1K0","A0P1K0","896-8632","896-4884","013","2016","1","0","1","0","0","0","0","1","0","0","0","0","0","0","3","April","April Blake","aprilblake@nlesd.ca","NLESD - Labrador Region"
"Labrador","014","100","Jens Haven Memorial","Nain","General Delivery","Nain, NL","A0P 1L0","A0P1L0","922-2813","922-2119","014","2016","19","21","21","20","18","20","11","18","14","15","14","22","14","1","228","Jacob","Jacob Larkin","jacoblarkin@nlesd.ca","NLESD - Labrador Region"
"Labrador","015","100","Lake Melville School","North West River","P.O. Box 40","North West River, NL","A0P 1M0","A0P1M0","497-8241","497-8250","015","2016","12","7","9","11","9","6","7","13","6","6","5","4","4","0","99","Jennifer","Jennifer White","jenniferwhite@nlesd.ca","NLESD - Labrador Region"
"Labrador","016","100","B.L. Morrison","Postville","P.O. Box 76","Postville, NL","A0P 1N0","A0P1N0","479-9811","479-9796","016","2016","3","4","1","2","3","3","1","1","1","4","3","0","5","0","31","Carmen","Carmen Sheppard","carmensheppard@nlesd.ca","NLESD - Labrador Region"
"Labrador","017","100","Northern Lights Academy","Rigolet","P.O. Box 89","Rigolet, NL","A0P 1P0","A0P1P0","947-3350","947-3429","017","2016","1","6","6","7","4","3","5","6","6","3","2","3","7","0","59","Tom","Tom Mugford","tommugford@nlesd.ca","NLESD - Labrador Region"
